id,title,summary,authors,primary_category,categories
math/0001187v1,q-probability: I. Basic discrete distributions,"For basic discrete probability distributions, $-$ Bernoulli, Pascal, Poisson, hypergeometric, contagious, and uniform, $-$ $q$-analogs are proposed.",Boris A. Kupershmidt,math.PR,math.PR
math/0001188v1,"Lax pairs, Painlevé properties and exact solutions of the alogero
  Korteweg-de Vries equation and a new (2+1)-dimensional equation","We prove the existence of a Lax pair for the Calogero Korteweg-de Vries (CKdV) equation. Moreover, we modify the T operator in the the Lax pair of the CKdV equation, in the search of a (2+1)-dimensional case and thereby propose a new equation in (2+1) dimensions. We named this the (2+1)-dimensional CKdV equation. We show that the CKdV equation as well as the (2+1)-dimensional CKdV equation are integrable in the sense that they possess the Painlev\'e property. Some exact solutions are also constructed.",Song-Ju Yu; Kouichi Toda,math.AP,math.AP; nlin.SI
math/0001189v1,"Links between different analytic descriptions of constant mean curvature
  surfaces","Transformations between different analytic descriptions of constant mean curvature (CMC) surfaces are established. In particular, it is demonstrated that the system \[ \begin{split} &\partial \psi_{1} = (|\psi_{1}|^{2} + |\psi_{2}|^{2}) \psi_{2} \\ &\bar{\partial} \psi_{2} =- (|\psi_{1}|^{2} + |\psi_{2}|^{2}) \psi_{1} \end{split} \] descriptive of CMC surfaces within the framework of the generalized Weierstrass representation, decouples into a direct sum of the elliptic Sh-Gordon and Laplace equations. Connections of this system with the sigma model equations are established. It is pointed out, that the instanton solutions correspond to different Weierstrass parametrizations of the standard sphere $S^{2} \subset E^{3}$.",Eugene V. Ferapontov; Alfred M. Grundland,math.DG,math.DG
nlin/0001071v1,On the calculation of finite-gap solutions of the KdV equation,"A simple and general approach for calculating the elliptic finite-gap solutions of the Korteweg-de Vries (KdV) equation is proposed. Our approach is based on the use of the finite-gap equations and the general representation of these solutions in the form of rational functions of the elliptic Weierstrass function. The calculation of initial elliptic finite-gap solutions is reduced to the solution of the finite-band equations with respect to the parameters of the representation. The time evolution of these solutions is described via the dynamic equations of their poles, integrated with the help of the finite-gap equations. The proposed approach is applied by calculating the elliptic 1-, 2- and 3-gap solutions of the KdV equations.",Andrii Korostil,nlin.SI,nlin.SI
nlin/0001072v1,"On the structure of the Bäcklund transformations for the relativistic
  lattices","The B\""acklund transformations for the relativistic lattices of the Toda type and their discrete analogues can be obtained as the composition of two duality transformations. The condition of invariance under this composition allows to distinguish effectively the integrable cases. Iterations of the B\""acklund transformations can be described in the terms of nonrelativistic lattices of the Toda type. Several multifield generalizations are presented.",Vsevolod E. Adler,nlin.SI,nlin.SI
hep-ph/0001001v2,A Two-Loop Four-Gluon Helicity Amplitude in QCD,"We present the two-loop pure gauge contribution to the gluon-gluon scattering amplitude with maximal helicity violation. Our construction of the amplitude does not rely directly on Feynman diagrams, but instead uses its analytic properties in 4 - 2 epsilon dimensions. We evaluate the loop integrals appearing in the amplitude through O(epsilon^0) in terms of polylogarithms.",Z. Bern; L. Dixon; D. A. Kosower,hep-ph,hep-ph; hep-th
cond-mat/0001001v1,"Statistical thermodynamics of membrane bending mediated protein-protein
  attraction","Integral membrane proteins deform the surrounding bilayer creating long-ranged forces that influence distant proteins. These forces can be attractive or repulsive, depending on the proteins' shape, height, contact angle with the bilayer, as well as the local membrane curvature. Although interaction energies are not pairwise additive, for sufficiently low protein density, thermodynamic properties depend only upon pair interactions. Here, we compute pair interaction potentials and entropic contributions to the two-dimensional osmotic pressure of a collection of noncircular proteins. In contrast to direct short-ranged interactions such as van der Waal's, hydrophobic, or electrostatic interactions, both local membrane Gaussian curvature and protein ellipticity can induce attractions between two proteins at distances of up to ten times their typical radii. For flat membranes, bending rigidities of $\sim 30k_{B}T$, and moderate ellipticities, we find thermally averaged attractive interactions of order $\sim 2k_{B}T$. These interactions may play an important role in the intermediate stages of protein aggregation.",Tom Chou; Ken S. Kim; George Oster,cond-mat.stat-mech,cond-mat.stat-mech; cond-mat.soft; q-bio.BM
cond-mat/0001002v3,Strong Coupling Approach to the Supersymmetric Kondo Model,"We carry out the strong coupling expansion for the SU(N) Kondo model where the impurity spin is represented by a L-shaped Young tableau. Using second order perturbation theory around the strong coupling fixed point it is shown that when the antisymmetric component of the Young-tableau contains more than N/2 entries, the strong-coupling fixed point becomes unstable to a two-stage Kondo effect. By comparing the strong coupling results obtained here with the result using a supersymmetric large N expansion, we are also able to confirm the validity of the the supersymmetric formalism for mixed symmetry Kondo models.",P. Coleman; C. Pepin; A. M. Tsvelik,cond-mat.str-el,cond-mat.str-el
hep-th/0001001v2,"Compactification, Geometry and Duality: N=2",These are notes based on lectures given at TASI99. We review the geometry of the moduli space of N=2 theories in four dimensions from the point of view of superstring compactification. The cases of a type IIA or type IIB string compactified on a Calabi-Yau threefold and the heterotic string compactified on K3xT2 are each considered in detail. We pay specific attention to the differences between N=2 theories and N>2 theories. The moduli spaces of vector multiplets and the moduli spaces of hypermultiplets are reviewed. In the case of hypermultiplets this review is limited by the poor state of our current understanding. Some peculiarities such as ``mixed instantons'' and the non-existence of a universal hypermultiplet are discussed.,Paul S. Aspinwall,hep-th,hep-th
hep-ex/0001001v2,"A CsI(Tl) Scintillating Crystal Detector for the Studies of Low Energy
  Neutrino Interactions","Scintillating crystal detector may offer some potential advantages in the low-energy, low-background experiments. A 500 kg CsI(Tl) detector to be placed near the core of Nuclear Power Station II in Taiwan is being constructed for the studies of electron-neutrino scatterings and other keV-MeV range neutrino interactions. The motivations of this detector approach, the physics to be addressed, the basic experimental design, and the characteristic performance of prototype modules are described. The expected background channels and their experimental handles are discussed.",TEXONO Collaboration,hep-ex,hep-ex
