,y_pred,y_test
0,0,4
1,4,4
2,3,3
3,0,0
4,4,3
5,4,4
6,4,4
7,0,5
8,3,3
9,4,4
10,4,4
11,4,4
12,0,0
13,4,4
14,4,4
15,3,3
16,4,4
17,3,3
18,0,0
19,4,4
20,4,4
21,4,4
22,4,4
23,3,0
24,4,0
25,3,3
26,4,4
27,0,0
28,4,4
29,3,3
30,4,4
31,3,3
32,0,2
33,4,4
34,4,4
35,3,3
36,0,0
37,4,4
38,0,0
39,0,0
40,4,4
41,4,4
42,4,4
43,4,4
44,0,5
45,4,4
46,3,3
47,0,0
48,4,4
49,4,4
50,0,0
51,3,3
52,3,4
53,4,4
54,4,4
55,4,4
56,0,0
57,3,3
58,4,4
59,4,4
60,3,3
61,4,4
62,0,0
63,4,4
64,0,0
65,0,0
66,3,3
67,4,4
68,4,4
69,0,0
70,0,0
71,3,3
72,4,4
73,4,4
74,0,0
75,3,3
76,0,0
77,4,4
78,4,4
79,4,4
80,4,4
81,4,4
82,0,4
83,4,4
84,0,0
85,4,4
86,3,3
87,4,4
88,0,0
89,4,4
90,0,0
91,4,4
92,4,4
93,4,4
94,4,4
95,4,4
96,4,4
97,4,4
98,0,0
99,4,4
100,4,4
101,4,4
102,3,3
103,0,0
104,0,0
105,4,4
106,4,4
107,4,4
108,4,4
109,4,4
110,0,7
111,4,4
112,4,4
113,4,4
114,0,0
115,4,4
116,4,4
117,4,0
118,3,3
119,3,3
120,4,4
121,4,4
122,0,0
123,4,4
124,7,3
125,4,3
126,4,4
127,4,4
128,3,3
129,4,4
130,4,4
131,0,0
132,4,4
133,4,4
134,0,0
135,4,4
136,4,4
137,4,4
138,4,4
139,0,0
140,4,4
141,4,4
142,0,0
143,0,0
144,4,4
145,4,4
146,3,3
147,0,0
148,4,4
149,3,3
150,0,0
151,0,0
152,4,4
153,4,4
154,4,4
155,4,4
156,4,4
157,4,4
158,0,0
159,4,3
160,4,4
161,0,0
162,4,4
163,3,0
164,4,4
165,4,4
166,0,0
167,4,4
168,4,4
169,4,4
170,0,0
171,4,4
172,4,4
173,4,4
174,4,4
175,4,4
176,4,4
177,3,3
178,4,4
179,0,0
180,0,0
181,0,0
182,4,4
183,4,4
184,0,2
185,4,4
186,0,2
187,4,4
